full_name,title,email,phone,linkedin,company,company_website,company_industry,company_size,location,source
Ronald Jackson,ceo,,,http://www.linkedin.com/in/ronald-jackson-7977181b,BG Bank,,['banking'],26,,decision_maker
Roger Backer,Head of Sector,,,http://www.linkedin.com/in/roger-de-backer-ba11891a,European Commission,http://www.europa.eu,['government administration'],16971,"Bruxelles, Bruxelles",decision_maker
,,,,http://www.linkedin.com/company/ai-chatgpt-prompts,AI: Artificial Intelligence,http://www.justai-llc.com,information technology & services,38,"Sheridan, Wyoming",apollo
,,,,http://www.linkedin.com/company/aiforleaders,AI For Enterprise,http://www.aiforleaders.com,online media,430,"San Francisco, California",apollo
,,,,http://www.linkedin.com/company/usaii,United States Artificial Intelligence Institute,http://www.usaii.org,government administration,36,"Stamford, Connecticut",apollo
,,,,http://www.linkedin.com/company/artiba,Artificial Intelligence Board of America,http://www.artiba.org,education management,27,"Austin, Texas",apollo
,,,,http://www.linkedin.com/company/fast-company,Fast Company,http://www.fastcompany.com,online media,170,"New York, New York",apollo
,,,,http://www.linkedin.com/company/cheddar-inc-,Cheddar,http://www.cheddar.com,media production,95,"New York, New York",apollo
,,,,http://www.linkedin.com/company/chat-gpt-central,"AI Central | ChatGPT & Generative AI Tutorials, Prompts & Use Cases for Gemini, DeepSeek, Claude",http://www.beehiiv.com,information technology & services,190,"San Francisco, California",apollo
,,,,http://www.linkedin.com/company/computerworld,Computerworld,http://www.computerworld.com,information technology & services,150,"New York, New York",apollo
,,,,http://www.linkedin.com/company/teamsignzy,Signzy,http://www.signzy.com,financial services,400,"New York, New York",apollo
,,,,http://www.linkedin.com/company/synaptic-artificial-intelligence,Synaptic Artificial Intelligence,http://www.synaptic-ai.com,marketing & advertising,34,"Palo Alto, California",apollo
,,,,http://www.linkedin.com/company/ejamerica,eJAmerica,http://www.ejamerica.com,information technology & services,170,"Irvine, California",apollo
,,,,http://www.linkedin.com/company/applicantz-com,Applicantz,http://www.applicantz.com,information technology & services,350,"Houston, Texas",apollo
,,,,http://www.linkedin.com/company/ignite-tech,IgniteTech,http://www.ignitetech.com,information technology & services,360,"Austin, Texas",apollo
,,,,http://www.linkedin.com/company/usebraintrust,Braintrust,http://www.usebraintrust.com,information technology & services,360,"San Francisco, California",apollo
,,,,http://www.linkedin.com/company/towards-data-science,Towards Data Science,http://www.towardsdatascience.com,online media,330,"San Francisco, California",apollo
,,,,http://www.linkedin.com/company/tridentconsulting,Trident Consulting,http://www.tridentconsultinginc.com,information technology & services,190,"San Ramon, California",apollo
,,,,http://www.linkedin.com/company/neuroscience-news,Neuroscience News,http://www.neurosciencenews.com,publishing,120,"The Woodlands, Texas",apollo
,,,,http://www.linkedin.com/company/ampstek,Ampstek,http://www.ampstek.com,information technology & services,300,"Princeton, New Jersey",apollo
,,,,http://www.linkedin.com/company/ai4,Ai4 - Artificial Intelligence Conferences,http://www.ai4.io,events services,27,"New York, New York",apollo
,,,,http://www.linkedin.com/company/ai4diversity,Generative AI works,http://www.ai4diversity.org,think tanks,17,"San Francisco, California",apollo
,,,,http://www.linkedin.com/company/opencv,OpenCV,http://www.opencv.org,nonprofit organization management,53,"Palo Alto, California",apollo
