company,website,phone,linkedin_company,industry,employees,city,state,country,address,postal_code,category,rating,reviews,founded_year,source
AI: Artificial Intelligence,http://www.justai-llc.com,,http://www.linkedin.com/company/ai-chatgpt-prompts,information technology & services,38,Sheridan,Wyoming,United States,,,,,,2019,apollo
Artificial Intelligence,,,http://www.linkedin.com/company/ai-gen-ai,information technology & services,34,Sunnyvale,California,United States,,,,,,,apollo
AI For Enterprise,http://www.aiforleaders.com,,http://www.linkedin.com/company/aiforleaders,online media,430,San Francisco,California,United States,,,,,,,apollo
United States Artificial Intelligence Institute,http://www.usaii.org,,http://www.linkedin.com/company/usaii,government administration,36,Stamford,Connecticut,United States,,,,,,,apollo
Artificial Intelligence Board of America,http://www.artiba.org,,http://www.linkedin.com/company/artiba,education management,27,Austin,Texas,United States,,,,,,,apollo
Fast Company,http://www.fastcompany.com,,http://www.linkedin.com/company/fast-company,online media,170,New York,New York,United States,,,,,,1995,apollo
Cheddar,http://www.cheddar.com,,http://www.linkedin.com/company/cheddar-inc-,media production,95,New York,New York,United States,,,,,,2016,apollo
"AI Central | ChatGPT & Generative AI Tutorials, Prompts & Use Cases for Gemini, DeepSeek, Claude",http://www.beehiiv.com,,http://www.linkedin.com/company/chat-gpt-central,information technology & services,190,San Francisco,California,United States,,,,,,2023,apollo
Computerworld,http://www.computerworld.com,,http://www.linkedin.com/company/computerworld,information technology & services,150,New York,New York,United States,,,,,,1967,apollo
MicroStrategy (now Strategy),,,http://www.linkedin.com/company/microstrategy,information technology & services,110,Tysons Corner,Virginia,United States,,,,,,1998,apollo
Signzy,http://www.signzy.com,,http://www.linkedin.com/company/teamsignzy,financial services,400,New York,New York,United States,,,,,,2015,apollo
Synaptic Artificial Intelligence,http://www.synaptic-ai.com,,http://www.linkedin.com/company/synaptic-artificial-intelligence,marketing & advertising,34,Palo Alto,California,United States,,,,,,2020,apollo
eJAmerica,http://www.ejamerica.com,,http://www.linkedin.com/company/ejamerica,information technology & services,170,Irvine,California,United States,,,,,,2016,apollo
Applicantz,http://www.applicantz.com,,http://www.linkedin.com/company/applicantz-com,information technology & services,350,Houston,Texas,United States,,,,,,2001,apollo
IgniteTech,http://www.ignitetech.com,,http://www.linkedin.com/company/ignite-tech,information technology & services,360,Austin,Texas,United States,,,,,,2000,apollo
US Army Artificial Intelligence Integration Center (AI2C),,,http://www.linkedin.com/company/usarmy-ai,military,88,Pittsburgh,Pennsylvania,United States,,,,,,2018,apollo
Braintrust,http://www.usebraintrust.com,,http://www.linkedin.com/company/usebraintrust,information technology & services,360,San Francisco,California,United States,,,,,,2018,apollo
Stanford Institute for Human-Centered Artificial Intelligence (HAI),,,http://www.linkedin.com/company/stanfordhai,higher education,200,Stanford,California,United States,,,,,,2018,apollo
Towards Data Science,http://www.towardsdatascience.com,,http://www.linkedin.com/company/towards-data-science,online media,330,San Francisco,California,United States,,,,,,2016,apollo
Trident Consulting,http://www.tridentconsultinginc.com,,http://www.linkedin.com/company/tridentconsulting,information technology & services,190,San Ramon,California,United States,,,,,,2005,apollo
Neuroscience News,http://www.neurosciencenews.com,,http://www.linkedin.com/company/neuroscience-news,publishing,120,The Woodlands,Texas,United States,,,,,,2001,apollo
Artificial Intelligence and Data Science | University at Buffalo,,,http://www.linkedin.com/company/ai-university-at-buffalo,research,21,Buffalo,New York,United States,,,,,,2018,apollo
Ampstek,http://www.ampstek.com,,http://www.linkedin.com/company/ampstek,information technology & services,300,Princeton,New Jersey,United States,,,,,,2014,apollo
Ai4 - Artificial Intelligence Conferences,http://www.ai4.io,,http://www.linkedin.com/company/ai4,events services,27,New York,New York,United States,,,,,,2018,apollo
Generative AI works,http://www.ai4diversity.org,,http://www.linkedin.com/company/ai4diversity,think tanks,17,San Francisco,California,United States,,,,,,,apollo
OpenCV,http://www.opencv.org,,http://www.linkedin.com/company/opencv,nonprofit organization management,53,Palo Alto,California,United States,,,,,,2000,apollo
Innovator’s Den,http://www.mysterygadgets.com,,http://www.linkedin.com/company/innovatorsdens,information technology & services,54,Claymont,Delaware,United States,,,,,,2020,apollo
Inside Higher Ed,http://www.insidehighered.com,,http://www.linkedin.com/company/inside-higher-ed,online media,170,Washington,District of Columbia,United States,,,,,,2004,apollo
Rare Carat,http://www.rarecarat.com,,http://www.linkedin.com/company/rare-carat,luxury goods & jewelry,170,New York,New York,United States,,,,,,2016,apollo
NeenOpal Inc.,http://www.neenopal.com,,http://www.linkedin.com/company/neenopal,management consulting,160,Newark,New Jersey,United States,,,,,,2016,apollo
Lotus Interworks,http://www.lotusinterworks.com,,http://www.linkedin.com/company/lotus-interworks,information technology & services,310,Los Angeles,California,United States,,,,,,1999,apollo
Tax.Network,http://www.tributario.com.br,,http://www.linkedin.com/company/tributario,information technology & services,59,Miami,Florida,United States,,,,,,1999,apollo
AIFI - Artificial Intelligence Finance Institute,http://www.aifinanceinstitute.com,,http://www.linkedin.com/company/artificial-intelligence-finance-institute-aifi,e-learning,15,New York,New York,United States,,,,,,2018,apollo
Together AI,http://www.together.ai,,http://www.linkedin.com/company/togethercomputer,information technology & services,360,San Francisco,California,United States,,,,,,2022,apollo
