rank,score,full_name,title,email,phone,linkedin,company,company_website,company_industry,company_employees,location,disc_type,disc_profile,subject_line,email_opening,outreach_approach,ai_hook,avoid,source
1,85,,Director of Operations,info@tjhlaw.com,(714) 285-7143,https://www.linkedin.com/company/thomas-j-henry-law/,Thomas J. Henry,www.thomasjhenrylaw.com,Legal / Law Firms,200,"San Antonio, TX",S,"Steady, supportive, team-oriented",Supporting Thomas J. Henry's team with AI automation,"Hi there, I noticed your team has been doing incredible work at Thomas J. Henry. We build AI that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%. We'd be happy to show you exactly how it works — no pressure.","Be warm, show you care about their team, offer support","We build AI that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%",Don't pressure or use urgency tactics,1000_database
2,85,,CTO,info@buckinghamstrategicwealth.com,(173) 636-3829,https://www.linkedin.com/company/buckinghamsw/,Buckingham Strategic Wealth,www.buckinghamstrategicwealth.com,Financial Advisory / Wealth Management,200,"St. Louis, MO",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Buckingham Strategic Wealth,"Hi there, Based on our analysis of companies like Buckingham Strategic Wealth, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
3,85,,Director of Technology,info@sanctuarywealth.com,(176) 606-7905,https://www.linkedin.com/company/concenturewealth/,Sanctuary Wealth,www.sanctuarywealth.com,Financial Advisory / Wealth Management,200,"Indianapolis, IN",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Sanctuary Wealth,"Hi there, Based on our analysis of companies like Sanctuary Wealth, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
4,85,,Director of IT,info@telemus.com,(175) 770-0700,https://www.linkedin.com/company/buckinghamsw/,Telemus Capital,www.telemus.com,Financial Advisory / Wealth Management,80,"Southfield, MI",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Telemus Capital,"Hi there, Based on our analysis of companies like Telemus Capital, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
5,85,,Director of Technology,info@greshampartners.com,(177) 212-3229,https://www.linkedin.com/company/gresham-partners-llc/,Gresham Partners,www.greshampartners.com,Financial Advisory / Wealth Management,80,"Chicago, IL",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Gresham Partners,"Hi there, Based on our analysis of companies like Gresham Partners, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
6,82,,Director of Technology,ask@williamsmullen.com,(804) 420-6000,https://www.linkedin.com/company/williams-mullen/,Williams Mullen,www.williamsmullen.com,Legal / Law Firms,300,"Richmond, VA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Williams Mullen,"Hi there, Based on our analysis of companies like Williams Mullen, we've found that we build ai that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%",Don't make vague claims without backing them up,1000_database
7,82,,Managing Partner,info@kraftcpas.com,(528) 507-4366,https://www.linkedin.com/company/bakertillyus/,KraftCPAs,www.kraftcpas.com,Accounting / CPA Firms,200,"Nashville, TN",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for KraftCPAs,"Hi there, Based on our analysis of companies like KraftCPAs, we've found that we build ai that automates bookkeeping, tax prep, and financial reporting — 5x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates bookkeeping, tax prep, and financial reporting — 5x faster",Don't make vague claims without backing them up,1000_database
8,82,,Managing Partner,info@windhambrannon.com,(365) 212-0452,https://www.linkedin.com/company/windham-brannon/,Windham Brannon,www.windhambrannon.com,Accounting / CPA Firms,200,"Atlanta, GA",D,"Results-driven, direct, bottom-line focused",Windham Brannon + AI = 3x faster operations,"Hi there, I'll be direct — we build ai that automates bookkeeping, tax prep, and financial reporting — 5x faster. For a company like Windham Brannon, that typically means $50K-$200K in annual savings.","Be direct, lead with ROI numbers, keep it short","We build AI that automates bookkeeping, tax prep, and financial reporting — 5x faster",Don't ramble or be vague. No fluff.,1000_database
9,82,,Director of Operations,info@hhcpa.com,(528) 507-4366,https://www.linkedin.com/company/bakertillyus/,Henry & Horne,www.hhcpa.com,Accounting / CPA Firms,150,"Tempe, AZ",S,"Steady, supportive, team-oriented",Supporting Henry & Horne's team with AI automation,"Hi there, I noticed your team has been doing incredible work at Henry & Horne. We build AI that automates bookkeeping, tax prep, and financial reporting — 5x faster. We'd be happy to show you exactly how it works — no pressure.","Be warm, show you care about their team, offer support","We build AI that automates bookkeeping, tax prep, and financial reporting — 5x faster",Don't pressure or use urgency tactics,1000_database
10,82,,CTO,direct.quote@rate.com,(866) 934-7283,https://linkedin.com/company/rate-official,Rate Insurance,www.rate.com/insurance,Insurance Agencies,500,"Chicago, IL",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Rate Insurance,"Hi there, Based on our analysis of companies like Rate Insurance, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
11,82,,CTO,support@kin.com,(855) 717-0022,https://www.linkedin.com/company/kin-insurance,Kin Insurance,www.kin.com,Insurance Agencies,500,"Chicago, IL",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Kin Insurance,"Hi there, Based on our analysis of companies like Kin Insurance, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
12,82,,Director of Technology,opportunity@ignitevisibility.com,(333) 333-3333,https://www.linkedin.com/company/ignite-visibility/,Ignite Visibility,www.ignitevisibility.com,Marketing / Digital Agencies,100,"San Diego, CA",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for Ignite Visibility's next chapter,"Hi there, I love what you're building at Ignite Visibility! We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy",Don't lead with data dumps or technical specs,1000_database
13,82,,CTO,contact@smartsites.com,(201) 870-6000,https://www.linkedin.com/company/smartsites,SmartSites,www.smartsites.com,Marketing / Digital Agencies,200,"Paramus, NJ",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for SmartSites's next chapter,"Hi there, I love what you're building at SmartSites! We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy",Don't lead with data dumps or technical specs,1000_database
14,82,,Director of Operations,friends@klientboost.com,(794) 225-5892,https://www.linkedin.com/company/klientboost,KlientBoost,www.klientboost.com,Marketing / Digital Agencies,100,"Costa Mesa, CA",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for KlientBoost's next chapter,"Hi there, I love what you're building at KlientBoost! We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy",Don't lead with data dumps or technical specs,1000_database
15,82,,Director of Operations,sales@thriveagency.com,(264) 453-6267,https://www.linkedin.com/company/thrive-agency,Thrive Internet Marketing,www.thriveagency.com,Marketing / Digital Agencies,200,"Arlington, TX",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for Thrive Internet Marketing's next chapter,"Hi there, I love what you're building at Thrive Internet Marketing! We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy",Don't lead with data dumps or technical specs,1000_database
16,82,,CTO,info@directive.com,(898) 433-8230,https://www.linkedin.com/company/directive/,Directive Consulting,www.directive.com,Marketing / Digital Agencies,200,"Irvine, CA",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for Directive Consulting's next chapter,"Hi there, I love what you're building at Directive Consulting! We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy",Don't lead with data dumps or technical specs,1000_database
17,82,,Director of Operations,info@singlegrain.com,(177) 193-2934,https://www.linkedin.com/company/single-grain-llc,Single Grain,www.singlegrain.com,Marketing / Digital Agencies,100,"Los Angeles, CA",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for Single Grain's next chapter,"Hi there, I love what you're building at Single Grain! We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy",Don't lead with data dumps or technical specs,1000_database
18,82,,CTO,van@majortom.com,(919) 728-9432,https://linkedin.com/company/itsmajortom,Major Tom,www.majortom.com,Marketing / Digital Agencies,200,"New York, NY",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for Major Tom's next chapter,"Hi there, I love what you're building at Major Tom! We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy",Don't lead with data dumps or technical specs,1000_database
19,82,,Director of Technology,info@refinelabs.com,(451) 390-2690,https://www.linkedin.com/company/refine-labs/,Refine Labs,www.refinelabs.com,Marketing / Digital Agencies,100,"Boston, MA",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for Refine Labs's next chapter,"Hi there, I love what you're building at Refine Labs! We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy",Don't lead with data dumps or technical specs,1000_database
20,82,,Director of Technology,hello@hawkemedia.com,(177) 222-1985,https://www.linkedin.com/company/hawkemedia,Hawke Media,www.hawkemedia.com,Marketing / Digital Agencies,200,"Los Angeles, CA",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for Hawke Media's next chapter,"Hi there, I love what you're building at Hawke Media! We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy",Don't lead with data dumps or technical specs,1000_database
21,82,,CTO,newbusiness@mekanism.com,(201) 597-8827,https://www.linkedin.com/company/mekanism/,Mekanism,www.mekanism.com,Marketing / Digital Agencies,200,"San Francisco, CA",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for Mekanism's next chapter,"Hi there, I love what you're building at Mekanism! We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy",Don't lead with data dumps or technical specs,1000_database
22,82,,Director of Product,support@freightpop.com,(725) 637-7409,https://www.linkedin.com/company/freightpop/,FreightPOP,www.freightpop.com,Logistics / Freight / 3PL,100,"Manhattan Beach, CA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for FreightPOP,"Hi there, Based on our analysis of companies like FreightPOP, we've found that we build ai that optimizes route planning, automates dispatch, and predicts delivery times with 95% accuracy. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that optimizes route planning, automates dispatch, and predicts delivery times with 95% accuracy",Don't make vague claims without backing them up,1000_database
23,82,,Director of IT,info@imagendentalpartners.com,(177) 240-3611,https://www.linkedin.com/company/imagen-dental-partners/,Imagen Dental Partners,www.imagendentalpartners.com,Dental (DSO),400,"Scottsdale, AZ",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Imagen Dental Partners,"Hi there, Based on our analysis of companies like Imagen Dental Partners, we've found that we build ai assistants that handle appointment scheduling, insurance verification, and patient reminders automatically. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI assistants that handle appointment scheduling, insurance verification, and patient reminders automatically",Don't make vague claims without backing them up,1000_database
