ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes,Contact_Email,Alt_Emails,Contact_Phone,Alt_Phones,Email_Source,DM_Name,DM_Professional_Email,DM_Email_Patterns,DM_LinkedIn_Search,LinkedIn_Company,LinkedIn_People_Found,Twitter,Facebook,Instagram,YouTube,Name_Source,DM_Google_Search
1,Ascension Medical Group,Healthcare / Medical Practices,Multi-Specialty,Chicago,IL,5000,$1B+,Patient scheduling AI,$25K-$50K,VP of Operations,www.ascension.org,5,Largest physician group with 1104 locations,info@ascension.org,contact@ascension.org,(033) 126-0218,(725) 174-1428; (772) 359-0696,pattern,,,[first].[last]@ascension.org; [f][last]@ascension.org; [first]@ascension.org; [first][last]@ascension.org,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Operations%22+%22Ascension+Medical+Group%22,https://www.linkedin.com/company/ascensionorg,,https://x.com/ascensionorg,https://www.facebook.com/ascension.org,https://www.instagram.com/ascension_org,https://www.youtube.com/channel/UCnXM-Ml3eN8NRcSy3f4_9Pw,,https://www.google.com/search?q=Ascension+Medical+Group+%22VP+of+Operations%22+site%3Alinkedin.com%2Fin
2,MDVIP,Healthcare / Medical Practices,Concierge Primary Care,Boca Raton,FL,2000,$500M-$1B,Patient engagement automation,$15K-$30K,Chief Technology Officer,www.mdvip.com,4,910 locations nationwide; concierge model,info@mdvip.com,contact@mdvip.com,,(866) 696-3847; (190) 986-2890,pattern,,,[first].[last]@mdvip.com; [f][last]@mdvip.com; [first]@mdvip.com; [first][last]@mdvip.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22MDVIP%22,https://www.linkedin.com/company/mdvip,,https://twitter.com/MDVIP,https://www.facebook.com/MDVIP,https://www.instagram.com/mymdvip,,,https://www.google.com/search?q=MDVIP+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
3,Duly Health and Care,Healthcare / Medical Practices,Multi-Specialty,Downers Grove,IL,6000,$1B+,EHR integration AI,$25K-$50K,Chief Digital Officer,www.dulyhealthandcare.com,5,Largest independent multi-specialty group,info@dulyhealthandcare.com,contact@dulyhealthandcare.com,(474) 029-2990,(509) 386-0840; (630) 469-9200,pattern,,,[first].[last]@dulyhealthandcare.com; [f][last]@dulyhealthandcare.com; [first]@dulyhealthandcare.com; [first][last]@dulyhealthandcare.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Digital+Officer%22+%22Duly+Health+and+Care%22,https://www.linkedin.com/company/duly-health-and-care,,https://www.twitter.com/dulyhealth_care,https://www.facebook.com/dulyhealthandcare,https://www.instagram.com/dulyhealthandcare/,https://www.youtube.com/c/DulyHealthandCare,,https://www.google.com/search?q=Duly+Health+and+Care+%22Chief+Digital+Officer%22+site%3Alinkedin.com%2Fin
4,Select Physical Therapy,Healthcare / Medical Practices,Physical Therapy,Mechanicsburg,PA,7000,$500M-$1B,Patient scheduling AI,$20K-$40K,VP of IT,www.selectphysicaltherapy.com,4,2000+ outpatient centers,info@selectphysicaltherapy.com,contact@selectphysicaltherapy.com,(794) 773-9205,(613) 290-9528; (204) 331-5674,pattern,,,[first].[last]@selectphysicaltherapy.com; [f][last]@selectphysicaltherapy.com; [first]@selectphysicaltherapy.com; [first][last]@selectphysicaltherapy.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+IT%22+%22Select+Physical+Therapy%22,,,https://x.com/select_pt,https://www.facebook.com/SelectPTS,,,,https://www.google.com/search?q=Select+Physical+Therapy+%22VP+of+IT%22+site%3Alinkedin.com%2Fin
5,Concentra,Healthcare / Medical Practices,Urgent Care/Occupational,Addison,TX,10000,$1B+,Patient triage AI,$30K-$50K,Chief Information Officer,www.concentra.com,5,559 locations in 41 states,username@domain.com,,(635) 672-7118,(202) 205-0700; (464) 174-4488,scraped,,,[first].[last]@concentra.com; [f][last]@concentra.com; [first]@concentra.com; [first][last]@concentra.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Information+Officer%22+%22Concentra%22,https://www.linkedin.com/company/concentra,,https://twitter.com/ConcentraHealth,https://www.facebook.com/concentra,,https://www.youtube.com/c/ConcentraHealth,,https://www.google.com/search?q=Concentra+%22Chief+Information+Officer%22+site%3Alinkedin.com%2Fin
6,American Family Care,Healthcare / Medical Practices,Urgent Care,Birmingham,AL,4000,$500M-$1B,Patient check-in automation,$15K-$30K,VP of Technology,www.afcurgentcare.com,4,369 locations; franchise model,info@afcurgentcare.com,contact@afcurgentcare.com,(378) 673-7273,(785) 978-1416; (857) 142-8571,pattern,,,[first].[last]@afcurgentcare.com; [f][last]@afcurgentcare.com; [first]@afcurgentcare.com; [first][last]@afcurgentcare.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22American+Family+Care%22,https://www.linkedin.com/company/afcurgentcare/,,https://x.com/AFCinc,https://www.facebook.com/AFCcorporate/,https://www.instagram.com/american_family_care,,,https://www.google.com/search?q=American+Family+Care+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
7,NextCare Holdings,Healthcare / Medical Practices,Urgent Care,Mesa,AZ,2000,$200M-$500M,Medical billing automation,$10K-$25K,Director of Operations,www.nextcare.com,4,174 locations,info@nextcare.com,contact@nextcare.com,,,pattern,,,[first].[last]@nextcare.com; [f][last]@nextcare.com; [first]@nextcare.com; [first][last]@nextcare.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Operations%22+%22NextCare+Holdings%22,,,,,,,,https://www.google.com/search?q=NextCare+Holdings+%22Director+of+Operations%22+site%3Alinkedin.com%2Fin
8,MD Now Urgent Care,Healthcare / Medical Practices,Urgent Care,West Palm Beach,FL,1500,$100M-$200M,Patient follow-up automation,$10K-$20K,Chief Operating Officer,www.mdnow.com,3,110 locations in Florida,info@mdnow.com,contact@mdnow.com,,,pattern,,,[first].[last]@mdnow.com; [f][last]@mdnow.com; [first]@mdnow.com; [first][last]@mdnow.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Operating+Officer%22+%22MD+Now+Urgent+Care%22,,,,,,,,https://www.google.com/search?q=MD+Now+Urgent+Care+%22Chief+Operating+Officer%22+site%3Alinkedin.com%2Fin
9,MedExpress Urgent Care,Healthcare / Medical Practices,Urgent Care,Morgantown,WV,3000,$200M-$500M,Scheduling AI,$15K-$30K,VP of Operations,www.medexpress.com,4,110 locations; Optum subsidiary,info@medexpress.com,contact@medexpress.com,(287) 828-0618,(102) 120-5884; (800) 367-1500,pattern,,,[first].[last]@medexpress.com; [f][last]@medexpress.com; [first]@medexpress.com; [first][last]@medexpress.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Operations%22+%22MedExpress+Urgent+Care%22,,,,,,,,https://www.google.com/search?q=MedExpress+Urgent+Care+%22VP+of+Operations%22+site%3Alinkedin.com%2Fin
10,GoHealth Urgent Care,Healthcare / Medical Practices,Urgent Care,Atlanta,GA,2500,$200M-$500M,Patient triage AI,$15K-$30K,CTO,www.gohealthuc.com,4,Multi-health-system partnership model,unsubscribe@gohealthuc.com,ccpa@gohealthuc.com; legalaffairs@gohealthuc.com,(507) 349-5641,(142) 816-5647; (678) 774-7100,scraped,,,[first].[last]@gohealthuc.com; [f][last]@gohealthuc.com; [first]@gohealthuc.com; [first][last]@gohealthuc.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22GoHealth+Urgent+Care%22,https://www.linkedin.com/company/gohealth-urgent-care,,https://twitter.com/GoHealthUC,https://www.facebook.com/gohealthuc/,https://www.instagram.com/gohealthuc/,https://www.youtube.com/@Gohealthuc,,https://www.google.com/search?q=GoHealth+Urgent+Care+%22CTO%22+site%3Alinkedin.com%2Fin
