ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes,Contact_Email,Alt_Emails,Contact_Phone,Alt_Phones,Email_Source
1,Ascension Medical Group,Healthcare / Medical Practices,Multi-Specialty,Chicago,IL,5000,$1B+,Patient scheduling AI,$25K-$50K,VP of Operations,www.ascension.org,5,Largest physician group with 1104 locations,info@ascension.org,contact@ascension.org,10331260218,7251741428; 17723590696,pattern
2,MDVIP,Healthcare / Medical Practices,Concierge Primary Care,Boca Raton,FL,2000,$500M-$1B,Patient engagement automation,$15K-$30K,Chief Technology Officer,www.mdvip.com,4,910 locations nationwide; concierge model,info@mdvip.com,contact@mdvip.com,2147483647,866.696.3847; 1107799841,pattern
3,Duly Health and Care,Healthcare / Medical Practices,Multi-Specialty,Downers Grove,IL,6000,$1B+,EHR integration AI,$25K-$50K,Chief Digital Officer,www.dulyhealthandcare.com,5,Largest independent multi-specialty group,info@dulyhealthandcare.com,contact@dulyhealthandcare.com,4740292990,509-3860840; +1-630-469-9200,pattern
4,Select Physical Therapy,Healthcare / Medical Practices,Physical Therapy,Mechanicsburg,PA,7000,$500M-$1B,Patient scheduling AI,$20K-$40K,VP of IT,www.selectphysicaltherapy.com,4,2000+ outpatient centers,info@selectphysicaltherapy.com,contact@selectphysicaltherapy.com,7947739205,6132909528; 2043315674,pattern
5,Concentra,Healthcare / Medical Practices,Urgent Care/Occupational,Addison,TX,10000,$1B+,Patient triage AI,$30K-$50K,Chief Information Officer,www.concentra.com,5,559 locations in 41 states,username@domain.com,,6356727118,2022050700; 4641744488,scraped
6,American Family Care,Healthcare / Medical Practices,Urgent Care,Birmingham,AL,4000,$500M-$1B,Patient check-in automation,$15K-$30K,VP of Technology,www.afcurgentcare.com,4,369 locations; franchise model,info@afcurgentcare.com,contact@afcurgentcare.com,3786737273,785978-1416; 1.8571428571,pattern
7,NextCare Holdings,Healthcare / Medical Practices,Urgent Care,Mesa,AZ,2000,$200M-$500M,Medical billing automation,$10K-$25K,Director of Operations,www.nextcare.com,4,174 locations,info@nextcare.com,contact@nextcare.com,,,pattern
8,MD Now Urgent Care,Healthcare / Medical Practices,Urgent Care,West Palm Beach,FL,1500,$100M-$200M,Patient follow-up automation,$10K-$20K,Chief Operating Officer,www.mdnow.com,3,110 locations in Florida,info@mdnow.com,contact@mdnow.com,,,pattern
9,MedExpress Urgent Care,Healthcare / Medical Practices,Urgent Care,Morgantown,WV,3000,$200M-$500M,Scheduling AI,$15K-$30K,VP of Operations,www.medexpress.com,4,110 locations; Optum subsidiary,info@medexpress.com,contact@medexpress.com,2878280618,1021205884; 1-800-367-1500,pattern
10,GoHealth Urgent Care,Healthcare / Medical Practices,Urgent Care,Atlanta,GA,2500,$200M-$500M,Patient triage AI,$15K-$30K,CTO,www.gohealthuc.com,4,Multi-health-system partnership model,unsubscribe@gohealthuc.com,ccpa@gohealthuc.com; legalaffairs@gohealthuc.com,1507349-5641,406.7708865; 1428165647,scraped
11,Forefront Dermatology,Healthcare / Medical Practices,Dermatology,Manitowoc,WI,2500,$200M-$500M,Patient scheduling AI,$15K-$25K,VP of IT,www.forefrontdermatology.com,4,339 physicians; 190+ clinics in 26 states,info@forefrontdermatology.com,contact@forefrontdermatology.com,1772141162,9999999999; 1757447290,pattern
12,Schweiger Dermatology Group,Healthcare / Medical Practices,Dermatology,New York,NY,1500,$100M-$200M,EHR integration AI,$10K-$20K,Director of Technology,www.schweigerderm.com,3,264 physicians,info@schweigerderm.com,contact@schweigerderm.com,9999999999,607417.1854; +1-844-337-6362,pattern
13,Epiphany Dermatology,Healthcare / Medical Practices,Dermatology,Austin,TX,800,$50M-$100M,Patient engagement automation,$10K-$20K,Chief Operating Officer,www.epiphanydermatology.com,3,169 physicians; growing network,info@epiphanydermatology.com,contact@epiphanydermatology.com,(371.551 2411,2063506169; 2032987295,pattern
14,U.S. Dermatology Partners,Healthcare / Medical Practices,Dermatology,Dallas,TX,2000,$200M-$500M,Medical billing automation,$15K-$25K,VP of Operations,www.usdermatologypartners.com,4,100+ locations in 8 states; 2M patients/year,info@usdermatologypartners.com,contact@usdermatologypartners.com,9999999999,1028350621; 17138791864,pattern
15,Integrated Dermatology,Healthcare / Medical Practices,Dermatology,Jacksonville,FL,1200,$100M-$200M,Appointment scheduling AI,$10K-$20K,Director of Operations,www.mydermgroup.com,3,Largest independent derm practice; 25+ states,info@mydermgroup.com,contact@mydermgroup.com,1724162637,1724780450; 17226257390,pattern
16,Rothman Orthopaedics,Healthcare / Medical Practices,Orthopedics,Philadelphia,PA,1500,$200M-$500M,Patient intake automation,$15K-$30K,Chief Information Officer,www.rothmanortho.com,4,Largest ortho group; est. 1970,info@rothmanortho.com,contact@rothmanortho.com,2026022820,18003219999; 12674791321,pattern
17,OrthoCarolina,Healthcare / Medical Practices,Orthopedics,Charlotte,NC,1200,$200M-$500M,Surgical scheduling AI,$15K-$30K,VP of Technology,www.orthocarolina.com,4,30+ locations in NC,info@orthocarolina.com,contact@orthocarolina.com,13776197044,2773035410; 10309335721,pattern
18,The Centers for Advanced Orthopaedics,Healthcare / Medical Practices,Orthopedics,Bethesda,MD,800,$100M-$200M,Patient follow-up automation,$10K-$25K,Director of IT,www.cfaortho.com,3,Large DC-area ortho group,info@cfaortho.com,contact@cfaortho.com,1768507599,1635527360; 1768507598,pattern
19,Illinois Bone & Joint Institute,Healthcare / Medical Practices,Orthopedics,Morton Grove,IL,700,$100M-$200M,EHR integration AI,$10K-$20K,Chief Operating Officer,www.ibji.com,3,100+ physicians; Chicago area,info@ibji.com,contact@ibji.com,1713870716,1763090158; 1718252774,pattern
