ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes
1,Ascension Medical Group,Healthcare / Medical Practices,Multi-Specialty,Chicago,IL,5000,$1B+,Patient scheduling AI,$25K-$50K,VP of Operations,www.ascension.org,5,Largest physician group with 1104 locations
2,MDVIP,Healthcare / Medical Practices,Concierge Primary Care,Boca Raton,FL,2000,$500M-$1B,Patient engagement automation,$15K-$30K,Chief Technology Officer,www.mdvip.com,4,910 locations nationwide; concierge model
3,Duly Health and Care,Healthcare / Medical Practices,Multi-Specialty,Downers Grove,IL,6000,$1B+,EHR integration AI,$25K-$50K,Chief Digital Officer,www.dulyhealthandcare.com,5,Largest independent multi-specialty group
4,Select Physical Therapy,Healthcare / Medical Practices,Physical Therapy,Mechanicsburg,PA,7000,$500M-$1B,Patient scheduling AI,$20K-$40K,VP of IT,www.selectphysicaltherapy.com,4,2000+ outpatient centers
5,Concentra,Healthcare / Medical Practices,Urgent Care/Occupational,Addison,TX,10000,$1B+,Patient triage AI,$30K-$50K,Chief Information Officer,www.concentra.com,5,559 locations in 41 states
6,American Family Care,Healthcare / Medical Practices,Urgent Care,Birmingham,AL,4000,$500M-$1B,Patient check-in automation,$15K-$30K,VP of Technology,www.afcurgentcare.com,4,369 locations; franchise model
7,NextCare Holdings,Healthcare / Medical Practices,Urgent Care,Mesa,AZ,2000,$200M-$500M,Medical billing automation,$10K-$25K,Director of Operations,www.nextcare.com,4,174 locations
8,MD Now Urgent Care,Healthcare / Medical Practices,Urgent Care,West Palm Beach,FL,1500,$100M-$200M,Patient follow-up automation,$10K-$20K,Chief Operating Officer,www.mdnow.com,3,110 locations in Florida
9,MedExpress Urgent Care,Healthcare / Medical Practices,Urgent Care,Morgantown,WV,3000,$200M-$500M,Scheduling AI,$15K-$30K,VP of Operations,www.medexpress.com,4,110 locations; Optum subsidiary
10,GoHealth Urgent Care,Healthcare / Medical Practices,Urgent Care,Atlanta,GA,2500,$200M-$500M,Patient triage AI,$15K-$30K,CTO,www.gohealthuc.com,4,Multi-health-system partnership model
11,Forefront Dermatology,Healthcare / Medical Practices,Dermatology,Manitowoc,WI,2500,$200M-$500M,Patient scheduling AI,$15K-$25K,VP of IT,www.forefrontdermatology.com,4,339 physicians; 190+ clinics in 26 states
12,Schweiger Dermatology Group,Healthcare / Medical Practices,Dermatology,New York,NY,1500,$100M-$200M,EHR integration AI,$10K-$20K,Director of Technology,www.schweigerderm.com,3,264 physicians
13,Epiphany Dermatology,Healthcare / Medical Practices,Dermatology,Austin,TX,800,$50M-$100M,Patient engagement automation,$10K-$20K,Chief Operating Officer,www.epiphanydermatology.com,3,169 physicians; growing network
14,U.S. Dermatology Partners,Healthcare / Medical Practices,Dermatology,Dallas,TX,2000,$200M-$500M,Medical billing automation,$15K-$25K,VP of Operations,www.usdermatologypartners.com,4,100+ locations in 8 states; 2M patients/year
15,Integrated Dermatology,Healthcare / Medical Practices,Dermatology,Jacksonville,FL,1200,$100M-$200M,Appointment scheduling AI,$10K-$20K,Director of Operations,www.mydermgroup.com,3,Largest independent derm practice; 25+ states
16,Rothman Orthopaedics,Healthcare / Medical Practices,Orthopedics,Philadelphia,PA,1500,$200M-$500M,Patient intake automation,$15K-$30K,Chief Information Officer,www.rothmanortho.com,4,Largest ortho group; est. 1970
17,OrthoCarolina,Healthcare / Medical Practices,Orthopedics,Charlotte,NC,1200,$200M-$500M,Surgical scheduling AI,$15K-$30K,VP of Technology,www.orthocarolina.com,4,30+ locations in NC
18,The Centers for Advanced Orthopaedics,Healthcare / Medical Practices,Orthopedics,Bethesda,MD,800,$100M-$200M,Patient follow-up automation,$10K-$25K,Director of IT,www.cfaortho.com,3,Large DC-area ortho group
19,Illinois Bone & Joint Institute,Healthcare / Medical Practices,Orthopedics,Morton Grove,IL,700,$100M-$200M,EHR integration AI,$10K-$20K,Chief Operating Officer,www.ibji.com,3,100+ physicians; Chicago area
20,Midwest Orthopaedics at Rush,Healthcare / Medical Practices,Orthopedics,Chicago,IL,500,$50M-$100M,Patient scheduling AI,$10K-$20K,Practice Administrator,www.rushortho.com,3,Top-ranked ortho practice
21,WellNow Urgent Care,Healthcare / Medical Practices,Urgent Care,Syracuse,NY,1800,$100M-$200M,Patient triage AI,$10K-$25K,VP of Operations,www.wellnow.com,3,Expanding in Northeast US
22,Fast Pace Health,Healthcare / Medical Practices,Urgent Care,Franklin,TN,2500,$200M-$500M,Clinical documentation AI,$15K-$30K,Chief Technology Officer,www.fastpacehealth.com,4,Rapid growth; rural-focused
23,CityMD,Healthcare / Medical Practices,Urgent Care,New York,NY,3000,$500M-$1B,Patient check-in automation,$20K-$40K,VP of Technology,www.citymd.com,5,Part of VillageMD/Walgreens
24,MinuteClinic (CVS Health),Healthcare / Medical Practices,Retail Health,Woonsocket,RI,4000,$500M-$1B,Patient scheduling AI,$25K-$50K,Director of Digital Health,www.cvs.com/minuteclinic,4,1100+ locations inside CVS
25,Oak Street Health,Healthcare / Medical Practices,Primary Care,Chicago,IL,6000,$1B+,Care coordination AI,$30K-$50K,Chief Digital Officer,www.oakstreethealth.com,5,Now part of CVS; Medicare-focused
26,agilon health,Healthcare / Medical Practices,Primary Care Platform,Long Beach,CA,800,$500M-$1B,Population health AI,$25K-$50K,VP of Technology,www.agilonhealth.com,5,Value-based care platform
27,One Medical,Healthcare / Medical Practices,Primary Care,San Francisco,CA,3000,$500M-$1B,Patient engagement AI,$20K-$40K,CTO,www.onemedical.com,4,Amazon subsidiary; tech-forward
28,ChenMed,Healthcare / Medical Practices,Primary Care,Miami,FL,3500,$500M-$1B,Care management AI,$20K-$40K,Chief Information Officer,www.chenmed.com,4,Senior-focused primary care
29,Privia Health,Healthcare / Medical Practices,Multi-Specialty,Arlington,VA,4000,$1B+,Revenue cycle AI,$25K-$50K,Chief Technology Officer,www.priviahealth.com,5,700+ provider groups
30,Marathon Health,Healthcare / Medical Practices,Employer Health,Burlington,VT,1500,$200M-$500M,Patient scheduling AI,$15K-$25K,VP of Operations,www.marathon-health.com,3,Employer-sponsored health centers
31,VillageMD,Healthcare / Medical Practices,Primary Care,Chicago,IL,8000,$1B+,Clinical AI assistants,$30K-$50K,Chief Digital Officer,www.villagemd.com,5,Walgreens-backed; 680+ locations
32,Carbon Health,Healthcare / Medical Practices,Primary Care/Urgent,San Francisco,CA,2000,$200M-$500M,AI-powered diagnostics,$15K-$30K,CTO,www.carbonhealth.com,4,Tech-first healthcare
33,Iora Health,Healthcare / Medical Practices,Primary Care,Boston,MA,1200,$100M-$200M,Care coordination AI,$15K-$25K,VP of Technology,www.iorahealth.com,3,Now part of One Medical
34,PhyNet Dermatology,Healthcare / Medical Practices,Dermatology,Fort Worth,TX,600,$50M-$100M,Patient engagement automation,$10K-$20K,Director of Operations,www.phynetderm.com,3,Growing PE-backed derm platform
35,Anne Arundel Dermatology,Healthcare / Medical Practices,Dermatology,Annapolis,MD,500,$50M-$100M,Scheduling and billing AI,$10K-$20K,Practice Manager,www.aadermatology.com,3,Mid-Atlantic derm leader
36,Sanova Dermatology,Healthcare / Medical Practices,Dermatology,Austin,TX,400,$25M-$50M,Patient follow-up AI,$8K-$15K,Operations Director,www.sanovadermatology.com,3,Texas-based growing network
37,Resurgens Orthopaedics,Healthcare / Medical Practices,Orthopedics,Atlanta,GA,600,$100M-$200M,Surgical scheduling AI,$10K-$25K,Director of IT,www.resurgens.com,3,Largest ortho in Atlanta
38,Optum Care,Healthcare / Medical Practices,Multi-Specialty,Eden Prairie,MN,50000,$10B+,AI clinical decision support,$40K-$50K,SVP of Innovation,www.optum.com,5,UnitedHealth subsidiary; massive network
39,TeamHealth,Healthcare / Medical Practices,Hospital-Based,Knoxville,TN,20000,$5B+,Clinical documentation AI,$30K-$50K,Chief Digital Officer,www.teamhealth.com,5,16000+ clinicians
40,Sound Physicians,Healthcare / Medical Practices,Hospital-Based,Tacoma,WA,4000,$500M-$1B,Revenue cycle AI,$20K-$40K,VP of Technology,www.soundphysicians.com,4,Multi-state hospitalist group
41,Kirkland & Ellis,Legal / Law Firms,BigLaw,Chicago,IL,3828,$5B+,Document review AI,$40K-$50K,Chief Innovation Officer,www.kirkland.com,5,Am Law #1; $8.8B gross revenue
42,Latham & Watkins,Legal / Law Firms,BigLaw,Los Angeles,CA,3584,$5B+,Contract analysis AI,$40K-$50K,Chief Technology Officer,www.lw.com,5,Am Law #2; $7B revenue
43,DLA Piper,Legal / Law Firms,BigLaw,Chicago,IL,4827,$1B+,Intake automation,$30K-$50K,CIO,www.dlapiper.com,5,4827 attorneys; global reach
44,Baker McKenzie,Legal / Law Firms,BigLaw,Chicago,IL,4700,$1B+,Contract lifecycle AI,$30K-$50K,Chief Innovation Officer,www.bakermckenzie.com,5,Global firm with AI appetite
