rank,score,company,website,email,alt_emails,phone,decision_maker,dm_title,founder,industry,location,employees,revenue,ai_use_case,deal_size,linkedin,source
1,100,Epiphany Dermatology,www.epiphanydermatology.com,info@epiphanydermatology.com,contact@epiphanydermatology.com,(371) 551-2411,,Chief Operating Officer,,Healthcare / Medical Practices,"Austin, TX",800,$50M-$100M,Patient engagement automation,$10K-$20K,https://www.linkedin.com/company/epiphany-dermatology/,1000_database
2,100,Illinois Bone & Joint Institute,www.ibji.com,info@ibji.com,contact@ibji.com,(171) 387-0716,,Chief Operating Officer,,Healthcare / Medical Practices,"Morton Grove, IL",700,$100M-$200M,EHR integration AI,$10K-$20K,https://www.linkedin.com/company/illinois-bone-and-joint-institute,1000_database
3,100,Midwest Orthopaedics at Rush,www.rushortho.com,contact@rushortho.com,,(661) 534-6724,,Practice Administrator,,Healthcare / Medical Practices,"Chicago, IL",500,$50M-$100M,Patient scheduling AI,$10K-$20K,https://www.linkedin.com/company/midwest-orthopaedics-at-rush,1000_database
4,100,agilon health,www.agilonhealth.com,info@agilonhealth.com,contact@agilonhealth.com,(172) 395-4126,,VP of Technology,,Healthcare / Medical Practices,"Long Beach, CA",800,$500M-$1B,Population health AI,$25K-$50K,https://www.linkedin.com/company/agilonhealth/,1000_database
5,100,Anne Arundel Dermatology,www.aadermatology.com,info@aadermatology.com,contact@aadermatology.com,(177) 240-3267,,Practice Manager,,Healthcare / Medical Practices,"Annapolis, MD",500,$50M-$100M,Scheduling and billing AI,$10K-$20K,https://www.linkedin.com/company/annearundeldermatology/,1000_database
6,100,Resurgens Orthopaedics,www.resurgens.com,info@resurgens.com,,(984) 259-0724,,Director of IT,,Healthcare / Medical Practices,"Atlanta, GA",600,$100M-$200M,Surgical scheduling AI,$10K-$25K,https://www.linkedin.com/company/resurgens-orthopaedics,1000_database
7,100,Williams Mullen,www.williamsmullen.com,ask@williamsmullen.com,acctsdisb@williamsmullen.com; mediainquiry@williamsmullen.com,(804) 420-6000,,Director of Technology,,Legal / Law Firms,"Richmond, VA",300,$100M-$200M,Contract analysis AI,$10K-$25K,https://www.linkedin.com/company/williams-mullen/,1000_database
8,100,Freeman Mathis & Gary,www.fmglaw.com,info@fmglaw.com,contact@fmglaw.com,(176) 951-7429,,Chief Operating Officer,,Legal / Law Firms,"Atlanta, GA",350,$100M-$200M,Litigation support AI,$10K-$25K,https://www.LinkedIn.com/company/freeman-mathis-,1000_database
9,100,Nelson Mullins,www.nelsonmullins.com,gc@nelsonmullins.com,,(800) 237-2000,,Chief Innovation Officer,,Legal / Law Firms,"Columbia, SC",900,$500M-$1B,Contract lifecycle AI,$20K-$35K,https://www.linkedin.com/company/165138,1000_database
10,100,Fisher Phillips,www.fisherphillips.com,fpcontactus@fisherphillips.com,,(143) 976-0884,,Director of IT,,Legal / Law Firms,"Atlanta, GA",600,$200M-$500M,HR compliance AI,$15K-$25K,https://www.linkedin.com/company/fisher-,1000_database
